Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
PB1,pose001,0.00,-23.89,0.03,-23.86,-13.83,17.97,27.02,17.97,3.16
PB1,pose002,0.00,-23.02,0.03,-22.99,-13.86,19.81,29.22,19.81,6.23
PB1,pose003,0.00,-23.47,0.03,-23.45,-14.00,17.36,26.19,17.36,2.75
PB1,pose004,0.00,-20.33,0.03,-20.30,-13.58,8.50,16.33,8.50,-3.97
PB1,pose005,0.00,-17.79,0.03,-17.76,-13.06,11.01,18.98,11.01,1.22
PB1,pose006,0.00,-16.87,0.03,-16.85,-12.88,14.78,25.08,14.78,8.24
PB1,pose007,0.00,-20.14,0.03,-20.11,-12.94,32.87,43.00,32.87,22.89
PB1,pose008,0.00,-17.86,0.03,-17.83,-12.97,15.24,25.62,15.24,7.80
PB1,pose009,0.00,-16.69,0.03,-16.66,-12.23,13.02,21.23,13.02,4.57
PB1,pose010,0.00,-20.17,0.03,-20.14,-12.48,28.43,38.78,28.43,18.64
PB3,pose001,0.00,-23.89,0.03,-23.86,-2.83,24.96,22.13,24.96,-1.73
PB3,pose002,0.00,-23.02,0.03,-22.99,-2.85,26.22,23.37,26.22,0.38
PB3,pose003,0.00,-23.47,0.03,-23.45,-2.82,24.42,21.60,24.42,-1.85
PB3,pose004,0.00,-20.33,0.03,-20.30,-2.90,13.89,10.99,13.89,-9.32
PB3,pose005,0.00,-17.79,0.03,-17.76,-3.00,15.82,12.82,15.82,-4.95
PB3,pose006,0.00,-16.87,0.03,-16.85,-3.10,17.74,14.64,17.74,-2.20
PB3,pose007,0.00,-20.14,0.03,-20.11,-3.02,27.62,24.59,27.62,4.48
PB3,pose008,0.00,-17.86,0.03,-17.83,-3.11,17.66,14.55,17.66,-3.28
PB3,pose009,0.00,-16.69,0.03,-16.66,-2.95,15.23,12.28,15.23,-4.38
PB3,pose010,0.00,-20.17,0.03,-20.14,-2.99,21.84,18.85,21.84,-1.30
PB4,pose001,0.00,-23.89,0.03,-23.86,-2.54,18.81,16.27,18.81,-7.59
PB4,pose002,0.00,-23.02,0.03,-22.99,-2.57,20.47,17.91,20.47,-5.09
PB4,pose003,0.00,-23.47,0.03,-23.45,-2.53,18.26,15.73,18.26,-7.72
PB4,pose004,0.00,-20.33,0.03,-20.30,-2.63,9.29,6.66,9.29,-13.65
PB4,pose005,0.00,-17.79,0.03,-17.76,-2.77,12.38,9.61,12.38,-8.15
PB4,pose006,0.00,-16.87,0.03,-16.85,-2.90,12.11,9.22,12.11,-7.63
PB4,pose007,0.00,-20.14,0.03,-20.11,-2.80,29.19,26.39,29.19,6.28
PB4,pose008,0.00,-17.86,0.03,-17.83,-2.91,12.99,10.07,12.99,-7.75
PB4,pose009,0.00,-16.69,0.03,-16.66,-2.70,12.85,10.15,12.85,-6.51
PB4,pose010,0.00,-20.17,0.03,-20.14,-2.75,23.24,20.49,23.24,0.34
GB1,pose001,0.00,-23.89,0.03,-23.86,-2.65,5.38,2.73,5.38,-21.13
GB1,pose002,0.00,-23.02,0.03,-22.99,-2.82,6.16,3.34,6.16,-19.65
GB1,pose003,0.00,-23.47,0.03,-23.45,-2.71,5.34,2.63,5.34,-20.82
GB1,pose004,0.00,-20.33,0.03,-20.30,-2.51,4.35,1.83,4.35,-18.47
GB1,pose005,0.00,-17.79,0.03,-17.76,-2.54,4.75,2.21,4.75,-15.55
GB1,pose006,0.00,-16.87,0.03,-16.85,-2.37,4.02,1.65,4.02,-15.20
GB1,pose007,0.00,-20.14,0.03,-20.11,-2.67,4.82,2.15,4.82,-17.96
GB1,pose008,0.00,-17.86,0.03,-17.83,-2.42,4.10,1.68,4.10,-16.15
GB1,pose009,0.00,-16.69,0.03,-16.66,-2.31,5.03,2.72,5.03,-13.94
GB1,pose010,0.00,-20.17,0.03,-20.14,-2.48,5.15,2.67,5.15,-17.47
GB2,pose001,0.00,-23.89,0.03,-23.86,-1.84,6.91,5.06,6.91,-18.80
GB2,pose002,0.00,-23.02,0.03,-22.99,-1.96,8.06,6.10,8.06,-16.89
