Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
PB1,pose001,0.00,-30.66,-0.01,-30.67,-20.78,22.61,37.99,22.61,7.33
PB1,pose002,0.00,-31.74,-0.01,-31.75,-21.01,19.57,35.92,19.57,4.17
PB1,pose003,0.00,-31.37,-0.01,-31.37,-20.68,23.11,39.67,23.11,8.30
PB1,pose004,0.00,-30.52,-0.01,-30.52,-20.98,23.64,40.21,23.64,9.69
PB1,pose005,0.00,-28.39,-0.01,-28.39,-19.92,10.40,22.75,10.40,-5.64
PB1,pose006,0.00,-27.21,-0.01,-27.22,-19.50,32.01,46.63,32.01,19.41
PB1,pose007,0.00,-27.16,-0.01,-27.16,-18.86,11.06,24.21,11.06,-2.95
PB1,pose008,0.00,-29.33,-0.01,-29.33,-19.08,15.61,30.61,15.61,1.28
PB1,pose009,0.00,-29.94,-0.01,-29.95,-17.81,34.52,51.07,34.52,21.12
PB1,pose010,0.00,-28.20,-0.01,-28.20,-19.47,19.91,37.33,19.91,9.13
PB3,pose001,0.00,-30.66,-0.01,-30.67,-4.02,34.53,30.51,34.53,-0.16
PB3,pose002,0.00,-31.74,-0.01,-31.75,-4.08,30.01,25.93,30.01,-5.82
PB3,pose003,0.00,-31.37,-0.01,-31.37,-3.99,31.26,27.26,31.26,-4.11
PB3,pose004,0.00,-30.52,-0.01,-30.52,-4.16,31.67,27.51,31.67,-3.01
PB3,pose005,0.00,-28.39,-0.01,-28.39,-3.94,18.88,14.94,18.88,-13.46
PB3,pose006,0.00,-27.21,-0.01,-27.22,-4.03,23.36,19.34,23.36,-7.88
PB3,pose007,0.00,-27.16,-0.01,-27.16,-4.06,15.06,11.00,15.06,-16.17
PB3,pose008,0.00,-29.33,-0.01,-29.33,-4.03,24.93,20.89,24.93,-8.44
PB3,pose009,0.00,-29.94,-0.01,-29.95,-3.76,37.47,33.71,37.47,3.76
PB3,pose010,0.00,-28.20,-0.01,-28.20,-4.22,24.95,20.73,24.95,-7.47
PB4,pose001,0.00,-30.66,-0.01,-30.67,-4.12,26.06,21.94,26.06,-8.73
PB4,pose002,0.00,-31.74,-0.01,-31.75,-4.20,21.59,17.39,21.59,-14.35
PB4,pose003,0.00,-31.37,-0.01,-31.37,-4.08,24.23,20.15,24.23,-11.23
PB4,pose004,0.00,-30.52,-0.01,-30.52,-4.31,24.02,19.71,24.02,-10.82
PB4,pose005,0.00,-28.39,-0.01,-28.39,-4.02,14.94,10.92,14.94,-17.47
PB4,pose006,0.00,-27.21,-0.01,-27.22,-4.13,24.02,19.89,24.02,-7.32
PB4,pose007,0.00,-27.16,-0.01,-27.16,-4.17,13.39,9.22,13.39,-17.94
PB4,pose008,0.00,-29.33,-0.01,-29.33,-4.14,19.88,15.75,19.88,-13.58
PB4,pose009,0.00,-29.94,-0.01,-29.95,-3.77,31.25,27.48,31.25,-2.47
PB4,pose010,0.00,-28.20,-0.01,-28.20,-4.39,23.84,19.45,23.84,-8.75
GB1,pose001,0.00,-30.66,-0.01,-30.67,-4.01,7.27,3.26,7.27,-27.41
GB1,pose002,0.00,-31.74,-0.01,-31.75,-3.79,6.75,2.96,6.75,-28.78
GB1,pose003,0.00,-31.37,-0.01,-31.37,-4.06,7.16,3.11,7.16,-28.27
GB1,pose004,0.00,-30.52,-0.01,-30.52,-4.00,6.84,2.84,6.84,-27.68
GB1,pose005,0.00,-28.39,-0.01,-28.39,-3.73,6.91,3.18,6.91,-25.21
GB1,pose006,0.00,-27.21,-0.01,-27.22,-3.55,8.00,4.45,8.00,-22.77
GB1,pose007,0.00,-27.16,-0.01,-27.16,-3.46,6.40,2.94,6.40,-24.22
GB1,pose008,0.00,-29.33,-0.01,-29.33,-3.49,7.19,3.70,7.19,-25.63
GB1,pose009,0.00,-29.94,-0.01,-29.95,-3.71,8.67,4.96,8.67,-24.99
GB1,pose010,0.00,-28.20,-0.01,-28.20,-3.71,6.21,2.50,6.21,-25.70
GB2,pose001,0.00,-30.66,-0.01,-30.67,-2.78,11.16,8.37,11.16,-22.29
GB2,pose002,0.00,-31.74,-0.01,-31.75,-2.63,10.13,7.49,10.13,-24.25
GB2,pose003,0.00,-31.37,-0.01,-31.37,-2.82,10.79,7.97,10.79,-23.41
GB2,pose004,0.00,-30.52,-0.01,-30.52,-2.78,10.23,7.45,10.23,-23.07
GB2,pose005,0.00,-28.39,-0.01,-28.39,-2.59,9.40,6.81,9.40,-21.59
GB2,pose006,0.00,-27.21,-0.01,-27.22,-2.47,10.82,8.35,10.82,-18.87
GB2,pose007,0.00,-27.16,-0.01,-27.16,-2.40,8.53,6.13,8.53,-21.03
GB2,pose008,0.00,-29.33,-0.01,-29.33,-2.42,10.90,8.47,10.90,-20.86
GB2,pose009,0.00,-29.94,-0.01,-29.95,-2.57,11.49,8.92,11.49,-21.04
GB2,pose010,0.00,-28.20,-0.01,-28.20,-2.58,8.81,6.24,8.81,-21.97
GB5,pose001,0.00,-30.66,-0.01,-30.67,-2.78,12.70,9.92,12.70,-20.75
GB5,pose002,0.00,-31.74,-0.01,-31.75,-2.63,11.68,9.05,11.69,-22.69
GB5,pose003,0.00,-31.37,-0.01,-31.37,-2.82,12.46,9.65,12.46,-21.73
GB5,pose004,0.00,-30.52,-0.01,-30.52,-2.78,11.82,9.04,11.82,-21.48
GB5,pose005,0.00,-28.39,-0.01,-28.39,-2.59,9.46,6.87,9.46,-21.53
GB5,pose006,0.00,-27.21,-0.01,-27.22,-2.47,10.78,8.32,10.78,-18.90
GB5,pose007,0.00,-27.16,-0.01,-27.16,-2.40,8.43,6.03,8.43,-21.13
