Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
PB1,pose001,0.00,-21.56,0.00,-21.56,-15.11,4.73,11.43,4.73,-10.13
PB1,pose002,0.00,-18.36,0.00,-18.36,-12.21,10.10,20.47,10.10,2.11
PB1,pose003,0.00,-19.14,0.00,-19.14,-14.12,6.15,13.31,6.15,-5.84
PB1,pose004,0.00,-18.85,-0.00,-18.86,-12.67,10.71,20.75,10.71,1.89
PB1,pose005,0.00,-20.38,-0.00,-20.38,-12.45,8.29,18.11,8.29,-2.27
PB1,pose006,0.00,-22.15,0.00,-22.15,-15.08,9.63,17.34,9.63,-4.81
PB1,pose007,0.00,-16.86,-0.00,-16.86,-12.38,9.42,17.25,9.42,0.38
PB1,pose008,0.00,-17.75,-0.00,-17.75,-12.45,12.23,22.77,12.23,5.02
PB1,pose009,0.00,-17.34,0.00,-17.34,-12.64,8.90,16.20,8.90,-1.14
PB1,pose010,0.00,-15.26,0.00,-15.26,-11.43,9.77,18.09,9.77,2.83
PB3,pose001,0.00,-21.56,0.00,-21.56,-2.84,8.20,5.36,8.20,-16.20
PB3,pose002,0.00,-18.36,0.00,-18.36,-2.95,16.52,13.58,16.52,-4.78
PB3,pose003,0.00,-19.14,0.00,-19.14,-2.89,9.00,6.12,9.00,-13.03
PB3,pose004,0.00,-18.85,-0.00,-18.86,-2.94,18.33,15.39,18.33,-3.47
PB3,pose005,0.00,-20.38,-0.00,-20.38,-2.84,17.70,14.86,17.70,-5.52
PB3,pose006,0.00,-22.15,0.00,-22.15,-2.89,11.85,8.96,11.85,-13.19
PB3,pose007,0.00,-16.86,-0.00,-16.86,-2.91,11.95,9.04,11.95,-7.83
PB3,pose008,0.00,-17.75,-0.00,-17.75,-3.08,21.12,18.04,21.12,0.29
PB3,pose009,0.00,-17.34,0.00,-17.34,-2.88,10.86,7.99,10.86,-9.35
PB3,pose010,0.00,-15.26,0.00,-15.26,-2.88,11.04,8.16,11.04,-7.10
PB4,pose001,0.00,-21.56,0.00,-21.56,-2.55,6.76,4.21,6.76,-17.35
PB4,pose002,0.00,-18.36,0.00,-18.36,-2.69,13.46,10.76,13.46,-7.59
PB4,pose003,0.00,-19.14,0.00,-19.14,-2.61,8.33,5.72,8.33,-13.43
PB4,pose004,0.00,-18.85,-0.00,-18.86,-2.68,13.30,10.62,13.30,-8.23
PB4,pose005,0.00,-20.38,-0.00,-20.38,-2.56,12.37,9.81,12.37,-10.57
PB4,pose006,0.00,-22.15,0.00,-22.15,-2.62,13.87,11.25,13.87,-10.90
PB4,pose007,0.00,-16.86,-0.00,-16.86,-2.64,9.44,6.79,9.44,-10.07
PB4,pose008,0.00,-17.75,-0.00,-17.75,-2.87,15.97,13.11,15.97,-4.65
PB4,pose009,0.00,-17.34,0.00,-17.34,-2.60,10.30,7.70,10.30,-9.64
PB4,pose010,0.00,-15.26,0.00,-15.26,-2.60,9.49,6.89,9.49,-8.37
GB1,pose001,0.00,-21.56,0.00,-21.56,-2.80,3.48,0.68,3.48,-20.88
GB1,pose002,0.00,-18.36,0.00,-18.36,-2.25,3.69,1.45,3.69,-16.91
