Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
PB1,pose001,0.00,-29.21,-0.00,-29.22,-19.94,20.94,38.51,20.94,9.30
PB1,pose002,0.00,-29.15,-0.00,-29.16,-19.82,16.77,29.33,16.77,0.17
PB1,pose003,0.00,-29.31,-0.00,-29.31,-20.18,25.68,42.33,25.68,13.02
PB1,pose004,0.00,-25.07,-0.00,-25.08,-18.70,14.81,26.76,14.81,1.68
PB1,pose005,0.00,-29.71,-0.00,-29.72,-20.14,20.20,37.42,20.20,7.70
PB1,pose006,0.00,-31.32,-0.00,-31.33,-20.74,13.37,27.19,13.37,-4.13
PB1,pose007,0.00,-26.34,-0.00,-26.34,-18.47,18.44,34.82,18.44,8.48
PB1,pose008,0.00,-29.47,-0.00,-29.48,-20.89,12.44,26.02,12.44,-3.46
PB1,pose009,0.00,-31.75,-0.00,-31.75,-21.46,10.76,22.90,10.76,-8.85
PB1,pose010,0.00,-26.82,-0.00,-26.83,-19.80,12.38,24.50,12.38,-2.33
PB3,pose001,0.00,-29.21,-0.00,-29.22,-4.12,29.95,25.83,29.95,-3.39
PB3,pose002,0.00,-29.15,-0.00,-29.16,-3.91,20.19,16.28,20.19,-12.88
PB3,pose003,0.00,-29.31,-0.00,-29.31,-4.10,25.45,21.35,25.45,-7.96
PB3,pose004,0.00,-25.07,-0.00,-25.08,-3.90,16.54,12.65,16.54,-12.43
PB3,pose005,0.00,-29.71,-0.00,-29.72,-4.10,32.68,28.58,32.68,-1.13
PB3,pose006,0.00,-31.32,-0.00,-31.33,-3.95,16.98,13.03,16.98,-18.30
PB3,pose007,0.00,-26.34,-0.00,-26.34,-4.07,22.48,18.42,22.48,-7.92
PB3,pose008,0.00,-29.47,-0.00,-29.48,-3.89,19.06,15.17,19.06,-14.31
PB3,pose009,0.00,-31.75,-0.00,-31.75,-3.89,17.21,13.33,17.21,-18.42
PB3,pose010,0.00,-26.82,-0.00,-26.83,-3.84,18.19,14.35,18.19,-12.48
PB4,pose001,0.00,-29.21,-0.00,-29.22,-4.25,23.44,19.19,23.44,-10.03
PB4,pose002,0.00,-29.15,-0.00,-29.16,-3.97,17.36,13.40,17.36,-15.76
PB4,pose003,0.00,-29.31,-0.00,-29.31,-4.22,27.26,23.03,27.26,-6.28
PB4,pose004,0.00,-25.07,-0.00,-25.08,-3.95,15.67,11.71,15.67,-13.36
PB4,pose005,0.00,-29.71,-0.00,-29.72,-4.22,23.85,19.63,23.85,-10.09
PB4,pose006,0.00,-31.32,-0.00,-31.33,-4.03,16.82,12.79,16.82,-18.54
PB4,pose007,0.00,-26.34,-0.00,-26.34,-4.18,19.30,15.12,19.30,-11.22
PB4,pose008,0.00,-29.47,-0.00,-29.48,-3.95,16.00,12.05,16.00,-17.43
PB4,pose009,0.00,-31.75,-0.00,-31.75,-3.94,14.27,10.33,14.27,-21.42
PB4,pose010,0.00,-26.82,-0.00,-26.83,-3.87,14.42,10.55,14.42,-16.28
GB1,pose001,0.00,-29.21,-0.00,-29.22,-4.02,6.67,2.65,6.67,-26.56
