Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
PB1,pose001,0.00,-32.43,0.00,-32.43,-22.74,112.81,126.32,112.81,93.90
PB1,pose002,0.00,-30.26,0.00,-30.26,-22.36,103.03,117.07,103.03,86.81
PB1,pose003,0.00,-34.40,-0.00,-34.40,-22.78,344.98,358.73,344.98,324.33
PB1,pose004,0.00,-32.97,-0.00,-32.97,-22.96,102.90,116.83,102.90,83.86
PB1,pose005,0.00,-31.79,0.00,-31.79,-22.06,170.97,185.46,170.97,153.67
PB1,pose006,0.00,-34.00,-0.00,-34.00,-22.41,304.20,318.44,304.20,284.44
PB1,pose007,0.00,-31.43,-0.00,-31.43,-22.29,258.83,274.34,258.83,242.92
PB1,pose008,0.00,-34.46,0.00,-34.46,-22.86,308.20,321.03,308.20,286.57
PB1,pose009,0.00,-28.87,0.00,-28.87,-22.27,114.69,129.14,114.69,100.27
PB1,pose010,0.00,-28.44,-0.00,-28.44,-21.93,222.62,237.44,222.62,209.00
PB3,pose001,0.00,-32.43,0.00,-32.43,-4.07,101.53,97.46,101.53,65.04
PB3,pose002,0.00,-30.26,0.00,-30.26,-4.04,101.76,97.72,101.76,67.46
PB3,pose003,0.00,-34.40,-0.00,-34.40,-3.93,176.66,172.72,176.66,138.32
PB3,pose004,0.00,-32.97,-0.00,-32.97,-4.04,111.09,107.05,111.09,74.08
PB3,pose005,0.00,-31.79,0.00,-31.79,-4.22,85.42,81.20,85.42,49.41
PB3,pose006,0.00,-34.00,-0.00,-34.00,-4.01,150.05,146.04,150.05,112.03
PB3,pose007,0.00,-31.43,-0.00,-31.43,-4.24,153.73,149.49,153.73,118.06
PB3,pose008,0.00,-34.46,0.00,-34.46,-3.86,182.27,178.41,182.27,143.96
PB3,pose009,0.00,-28.87,0.00,-28.87,-3.98,120.69,116.71,120.69,87.84
PB3,pose010,0.00,-28.44,-0.00,-28.44,-4.06,106.67,102.62,106.67,74.18
PB4,pose001,0.00,-32.43,0.00,-32.43,-4.18,112.59,108.41,112.59,75.99
PB4,pose002,0.00,-30.26,0.00,-30.26,-4.14,127.15,123.01,127.15,92.75
PB4,pose003,0.00,-34.40,-0.00,-34.40,-4.00,317.68,313.68,317.68,279.27
PB4,pose004,0.00,-32.97,-0.00,-32.97,-4.15,128.40,124.25,128.40,91.28
PB4,pose005,0.00,-31.79,0.00,-31.79,-4.38,202.66,198.28,202.66,166.49
PB4,pose006,0.00,-34.00,-0.00,-34.00,-4.11,321.63,317.53,321.63,283.52
PB4,pose007,0.00,-31.43,-0.00,-31.43,-4.41,225.89,221.48,225.89,190.05
PB4,pose008,0.00,-34.46,0.00,-34.46,-3.91,278.60,274.70,278.60,240.24
PB4,pose009,0.00,-28.87,0.00,-28.87,-4.06,138.35,134.29,138.35,105.41
PB4,pose010,0.00,-28.44,-0.00,-28.44,-4.17,244.93,240.76,244.93,212.33
GB1,pose001,0.00,-32.43,0.00,-32.43,-4.66,23.47,18.81,23.47,-13.62
GB1,pose002,0.00,-30.26,0.00,-30.26,-4.58,20.93,16.35,20.93,-13.91
GB1,pose003,0.00,-34.40,-0.00,-34.40,-4.92,21.09,16.17,21.09,-18.24
GB1,pose004,0.00,-32.97,-0.00,-32.97,-4.85,22.55,17.70,22.55,-15.27
GB1,pose005,0.00,-31.79,0.00,-31.79,-4.56,20.22,15.66,20.22,-16.13
GB1,pose006,0.00,-34.00,-0.00,-34.00,-4.70,19.63,14.94,19.63,-19.07
GB1,pose007,0.00,-31.43,-0.00,-31.43,-4.73,18.19,13.46,18.19,-17.97
GB1,pose008,0.00,-34.46,0.00,-34.46,-4.86,20.41,15.54,20.41,-18.92
GB1,pose009,0.00,-28.87,0.00,-28.87,-4.75,20.31,15.56,20.31,-13.31
GB1,pose010,0.00,-28.44,-0.00,-28.44,-4.70,19.47,14.76,19.47,-13.67
GB2,pose001,0.00,-32.43,0.00,-32.43,-3.24,32.12,28.88,32.12,-3.55
