Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
PB1,pose001,0.00,-20.67,-0.01,-20.68,-14.79,4.63,11.89,4.63,-8.79
PB1,pose002,0.00,-20.14,-0.01,-20.15,-14.75,4.85,12.51,4.85,-7.64
PB1,pose003,0.00,-18.35,-0.01,-18.36,-12.14,13.65,24.89,13.65,6.53
PB1,pose004,0.00,-20.83,-0.01,-20.84,-11.99,14.77,25.60,14.77,4.76
PB1,pose005,0.00,-20.63,-0.01,-20.65,-11.99,15.26,25.99,15.26,5.35
PB1,pose006,0.00,-22.36,-0.01,-22.37,-14.81,5.45,14.69,5.45,-7.68
PB1,pose007,0.00,-19.48,-0.01,-19.49,-12.71,13.61,23.89,13.61,4.40
PB1,pose008,0.00,-16.59,-0.01,-16.60,-12.26,6.49,16.23,6.49,-0.36
PB1,pose009,0.00,-18.18,-0.01,-18.20,-12.40,8.96,17.81,8.96,-0.38
PB1,pose010,0.00,-17.27,-0.01,-17.29,-12.32,6.38,14.96,6.38,-2.32
PB3,pose001,0.00,-20.67,-0.01,-20.68,-2.87,7.62,4.75,7.62,-15.93
PB3,pose002,0.00,-20.14,-0.01,-20.15,-2.86,8.08,5.22,8.08,-14.93
PB3,pose003,0.00,-18.35,-0.01,-18.36,-2.99,18.35,15.36,18.35,-3.00
PB3,pose004,0.00,-20.83,-0.01,-20.84,-2.99,15.70,12.71,15.70,-8.13
PB3,pose005,0.00,-20.63,-0.01,-20.65,-3.00,15.21,12.21,15.21,-8.43
PB3,pose006,0.00,-22.36,-0.01,-22.37,-2.96,11.60,8.64,11.60,-13.73
PB3,pose007,0.00,-19.48,-0.01,-19.49,-3.07,17.21,14.14,17.21,-5.35
PB3,pose008,0.00,-16.59,-0.01,-16.60,-3.10,6.31,3.22,6.31,-13.38
PB3,pose009,0.00,-18.18,-0.01,-18.20,-2.96,12.50,9.54,12.50,-8.66
PB3,pose010,0.00,-17.27,-0.01,-17.29,-2.98,7.86,4.89,7.86,-12.40
PB4,pose001,0.00,-20.67,-0.01,-20.68,-2.59,7.39,4.79,7.39,-15.88
PB4,pose002,0.00,-20.14,-0.01,-20.15,-2.58,7.74,5.16,7.74,-14.99
PB4,pose003,0.00,-18.35,-0.01,-18.36,-2.75,12.71,9.96,12.71,-8.40
PB4,pose004,0.00,-20.83,-0.01,-20.84,-2.75,14.22,11.47,14.22,-9.37
PB4,pose005,0.00,-20.63,-0.01,-20.65,-2.76,14.97,12.21,14.97,-8.44
PB4,pose006,0.00,-22.36,-0.01,-22.37,-2.71,9.92,7.21,9.92,-15.16
PB4,pose007,0.00,-19.48,-0.01,-19.49,-2.86,14.08,11.22,14.08,-8.27
PB4,pose008,0.00,-16.59,-0.01,-16.60,-2.89,6.86,3.97,6.86,-12.63
PB4,pose009,0.00,-18.18,-0.01,-18.20,-2.71,8.55,5.83,8.55,-12.36
PB4,pose010,0.00,-17.27,-0.01,-17.29,-2.73,8.31,5.58,8.31,-11.71
GB1,pose001,0.00,-20.67,-0.01,-20.68,-2.87,3.09,0.22,3.09,-20.46
GB1,pose002,0.00,-20.14,-0.01,-20.15,-2.89,3.12,0.23,3.12,-19.92
GB1,pose003,0.00,-18.35,-0.01,-18.36,-2.29,4.03,1.74,4.03,-16.62
GB1,pose004,0.00,-20.83,-0.01,-20.84,-2.03,4.01,1.98,4.01,-18.85
GB1,pose005,0.00,-20.63,-0.01,-20.65,-2.07,4.01,1.94,4.01,-18.70
GB1,pose006,0.00,-22.36,-0.01,-22.37,-2.91,2.98,0.07,2.98,-22.30
GB1,pose007,0.00,-19.48,-0.01,-19.49,-2.41,3.78,1.38,3.78,-18.12
GB1,pose008,0.00,-16.59,-0.01,-16.60,-2.29,2.69,0.41,2.69,-16.19
GB1,pose009,0.00,-18.18,-0.01,-18.20,-2.24,3.47,1.23,3.47,-16.97
GB1,pose010,0.00,-17.27,-0.01,-17.29,-2.37,2.75,0.38,2.75,-16.91
GB2,pose001,0.00,-20.67,-0.01,-20.68,-1.99,3.70,1.71,3.70,-18.97
GB2,pose002,0.00,-20.14,-0.01,-20.15,-2.01,3.81,1.80,3.81,-18.35
GB2,pose003,0.00,-18.35,-0.01,-18.36,-1.59,5.71,4.12,5.71,-14.24
GB2,pose004,0.00,-20.83,-0.01,-20.84,-1.41,5.56,4.15,5.56,-16.68
GB2,pose005,0.00,-20.63,-0.01,-20.65,-1.44,5.61,4.18,5.61,-16.47
GB2,pose006,0.00,-22.36,-0.01,-22.37,-2.02,3.56,1.54,3.56,-20.83
GB2,pose007,0.00,-19.48,-0.01,-19.49,-1.67,5.16,3.49,5.16,-16.00
GB2,pose008,0.00,-16.59,-0.01,-16.60,-1.59,3.28,1.69,3.28,-14.91
GB2,pose009,0.00,-18.18,-0.01,-18.20,-1.55,4.51,2.96,4.51,-15.24
GB2,pose010,0.00,-17.27,-0.01,-17.29,-1.65,3.21,1.57,3.21,-15.72
GB5,pose001,0.00,-20.67,-0.01,-20.68,-1.99,3.34,1.35,3.34,-19.33
GB5,pose002,0.00,-20.14,-0.01,-20.15,-2.01,3.42,1.41,3.42,-18.74
GB5,pose003,0.00,-18.35,-0.01,-18.36,-1.59,6.15,4.56,6.15,-13.80
GB5,pose004,0.00,-20.83,-0.01,-20.84,-1.41,5.73,4.32,5.73,-16.52
GB5,pose005,0.00,-20.63,-0.01,-20.65,-1.44,5.97,4.53,5.97,-16.12
GB5,pose006,0.00,-22.36,-0.01,-22.37,-2.02,3.28,1.26,3.28,-21.11
GB5,pose007,0.00,-19.48,-0.01,-19.49,-1.67,5.48,3.81,5.48,-15.69
GB5,pose008,0.00,-16.59,-0.01,-16.60,-1.59,3.31,1.72,3.31,-14.88
GB5,pose009,0.00,-18.18,-0.01,-18.20,-1.55,4.87,3.32,4.87,-14.87
GB5,pose010,0.00,-17.27,-0.01,-17.29,-1.65,3.18,1.53,3.18,-15.75
GB6,pose001,0.00,-20.67,-0.01,-20.68,-1.80,4.58,2.78,4.58,-17.90
GB6,pose002,0.00,-20.14,-0.01,-20.15,-1.79,4.90,3.11,4.90,-17.04
GB6,pose003,0.00,-18.35,-0.01,-18.36,-1.91,11.90,9.99,11.90,-8.37
GB6,pose004,0.00,-20.83,-0.01,-20.84,-1.91,13.46,11.55,13.47,-9.28
GB6,pose005,0.00,-20.63,-0.01,-20.65,-1.91,13.36,11.44,13.36,-9.21
GB6,pose006,0.00,-22.36,-0.01,-22.37,-1.88,6.97,5.09,6.97,-17.28
GB6,pose007,0.00,-19.48,-0.01,-19.49,-1.98,12.15,10.16,12.15,-9.33
GB6,pose008,0.00,-16.59,-0.01,-16.60,-2.01,5.95,3.95,5.95,-12.65
GB6,pose009,0.00,-18.18,-0.01,-18.20,-1.88,8.20,6.31,8.20,-11.89
GB6,pose010,0.00,-17.27,-0.01,-17.29,-1.90,6.79,4.90,6.79,-12.39
GB7,pose001,0.00,-20.67,-0.01,-20.68,-1.99,3.59,1.59,3.59,-19.08
GB7,pose002,0.00,-20.14,-0.01,-20.15,-2.01,3.61,1.61,3.61,-18.54
GB7,pose003,0.00,-18.35,-0.01,-18.36,-1.59,7.13,5.54,7.13,-12.82
GB7,pose004,0.00,-20.83,-0.01,-20.84,-1.41,6.96,5.55,6.96,-15.29
GB7,pose005,0.00,-20.63,-0.01,-20.65,-1.44,6.82,5.38,6.82,-15.27
GB7,pose006,0.00,-22.36,-0.01,-22.37,-2.02,3.65,1.63,3.65,-20.74
GB7,pose007,0.00,-19.48,-0.01,-19.49,-1.67,6.46,4.78,6.46,-14.71
GB7,pose008,0.00,-16.59,-0.01,-16.60,-1.59,3.51,1.92,3.51,-14.68
GB7,pose009,0.00,-18.18,-0.01,-18.20,-1.55,6.09,4.54,6.09,-13.66
GB7,pose010,0.00,-17.27,-0.01,-17.29,-1.65,3.45,1.81,3.45,-15.48
GB8,pose001,0.00,-20.67,-0.01,-20.68,-1.99,3.17,1.18,3.17,-19.50
GB8,pose002,0.00,-20.14,-0.01,-20.15,-2.01,3.32,1.31,3.32,-18.84
GB8,pose003,0.00,-18.35,-0.01,-18.36,-1.59,7.49,5.90,7.49,-12.46
GB8,pose004,0.00,-20.83,-0.01,-20.84,-1.41,7.61,6.20,7.61,-14.63
GB8,pose005,0.00,-20.63,-0.01,-20.65,-1.44,7.46,6.02,7.46,-14.63
GB8,pose006,0.00,-22.36,-0.01,-22.37,-2.02,3.07,1.05,3.07,-21.32
GB8,pose007,0.00,-19.48,-0.01,-19.49,-1.67,7.30,5.63,7.30,-13.87
GB8,pose008,0.00,-16.59,-0.01,-16.60,-1.59,3.71,2.13,3.71,-14.47
GB8,pose009,0.00,-18.18,-0.01,-18.20,-1.55,6.04,4.48,6.04,-13.71
GB8,pose010,0.00,-17.27,-0.01,-17.29,-1.65,3.69,2.05,3.69,-15.24
