Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
PB1,pose001,0.00,-30.59,-0.01,-30.60,-21.06,29.25,45.51,29.25,14.92
PB1,pose002,0.00,-31.56,-0.01,-31.56,-20.93,45.43,61.79,45.43,30.22
PB1,pose003,0.00,-31.35,-0.01,-31.36,-19.68,17.38,34.26,17.38,2.90
PB1,pose004,0.00,-32.79,-0.01,-32.80,-20.10,44.21,60.77,44.21,27.97
PB1,pose005,0.00,-30.64,-0.01,-30.65,-19.80,26.95,45.23,26.95,14.58
PB1,pose006,0.00,-29.55,-0.01,-29.56,-19.72,21.38,39.43,21.38,9.87
PB1,pose007,0.00,-29.23,-0.01,-29.24,-19.45,14.60,30.45,14.60,1.21
PB1,pose008,0.00,-31.19,-0.01,-31.20,-19.38,23.19,40.26,23.19,9.06
PB1,pose009,0.00,-26.99,-0.01,-27.00,-18.71,12.19,28.19,12.19,1.19
PB1,pose010,0.00,-31.01,-0.01,-31.02,-19.34,19.33,36.90,19.33,5.88
PB3,pose001,0.00,-30.59,-0.01,-30.60,-4.04,36.92,32.88,36.92,2.28
PB3,pose002,0.00,-31.56,-0.01,-31.56,-4.08,44.32,40.23,44.32,8.67
PB3,pose003,0.00,-31.35,-0.01,-31.36,-4.08,24.39,20.30,24.39,-11.05
PB3,pose004,0.00,-32.79,-0.01,-32.80,-4.12,25.57,21.45,25.57,-11.35
PB3,pose005,0.00,-30.64,-0.01,-30.65,-4.24,25.85,21.61,25.85,-9.04
PB3,pose006,0.00,-29.55,-0.01,-29.56,-4.18,26.25,22.06,26.25,-7.49
PB3,pose007,0.00,-29.23,-0.01,-29.24,-4.05,15.24,11.20,15.24,-18.05
PB3,pose008,0.00,-31.19,-0.01,-31.20,-4.07,23.27,19.20,23.27,-11.99
PB3,pose009,0.00,-26.99,-0.01,-27.00,-4.11,14.77,10.66,14.77,-16.34
PB3,pose010,0.00,-31.01,-0.01,-31.02,-4.24,17.04,12.81,17.04,-18.21
PB4,pose001,0.00,-30.59,-0.01,-30.60,-4.14,30.48,26.34,30.48,-4.25
PB4,pose002,0.00,-31.56,-0.01,-31.56,-4.20,45.88,41.68,45.88,10.11
PB4,pose003,0.00,-31.35,-0.01,-31.36,-4.20,18.71,14.51,18.71,-16.85
PB4,pose004,0.00,-32.79,-0.01,-32.80,-4.26,34.86,30.60,34.86,-2.20
PB4,pose005,0.00,-30.64,-0.01,-30.65,-4.42,27.53,23.11,27.53,-7.53
PB4,pose006,0.00,-29.55,-0.01,-29.56,-4.33,21.99,17.66,21.99,-11.90
PB4,pose007,0.00,-29.23,-0.01,-29.24,-4.16,14.18,10.02,14.18,-19.22
PB4,pose008,0.00,-31.19,-0.01,-31.20,-4.18,21.19,17.00,21.19,-14.19
PB4,pose009,0.00,-26.99,-0.01,-27.00,-4.23,13.31,9.07,13.31,-17.93
PB4,pose010,0.00,-31.01,-0.01,-31.02,-4.41,19.18,14.78,19.18,-16.24
GB1,pose001,0.00,-30.59,-0.01,-30.60,-4.09,8.48,4.39,8.48,-26.21
GB1,pose002,0.00,-31.56,-0.01,-31.56,-4.19,8.43,4.24,8.43,-27.33
GB1,pose003,0.00,-31.35,-0.01,-31.36,-3.61,6.46,2.86,6.46,-28.50
GB1,pose004,0.00,-32.79,-0.01,-32.80,-3.64,7.62,3.98,7.62,-28.82
GB1,pose005,0.00,-30.64,-0.01,-30.65,-3.64,6.49,2.85,6.49,-27.80
GB1,pose006,0.00,-29.55,-0.01,-29.56,-3.73,6.52,2.79,6.52,-26.76
GB1,pose007,0.00,-29.23,-0.01,-29.24,-3.35,5.32,1.97,5.32,-27.28
GB1,pose008,0.00,-31.19,-0.01,-31.20,-3.57,6.94,3.37,6.94,-27.83
GB1,pose009,0.00,-26.99,-0.01,-27.00,-3.11,5.43,2.31,5.43,-24.69
GB1,pose010,0.00,-31.01,-0.01,-31.02,-3.31,6.28,2.97,6.28,-28.05
GB2,pose001,0.00,-30.59,-0.01,-30.60,-2.84,11.82,8.98,11.82,-21.62
GB2,pose002,0.00,-31.56,-0.01,-31.56,-2.91,11.70,8.79,11.70,-22.78
GB2,pose003,0.00,-31.35,-0.01,-31.36,-2.50,9.27,6.76,9.27,-24.60
GB2,pose004,0.00,-32.79,-0.01,-32.80,-2.53,10.53,8.01,10.53,-24.80
GB2,pose005,0.00,-30.64,-0.01,-30.65,-2.53,9.25,6.72,9.25,-23.92
GB2,pose006,0.00,-29.55,-0.01,-29.56,-2.59,9.11,6.52,9.11,-23.04
GB2,pose007,0.00,-29.23,-0.01,-29.24,-2.33,7.08,4.75,7.08,-24.50
GB2,pose008,0.00,-31.19,-0.01,-31.20,-2.48,10.31,7.83,10.31,-23.36
GB2,pose009,0.00,-26.99,-0.01,-27.00,-2.16,6.94,4.78,6.94,-22.22
GB2,pose010,0.00,-31.01,-0.01,-31.02,-2.30,8.65,6.34,8.65,-24.67
GB5,pose001,0.00,-30.59,-0.01,-30.60,-2.84,12.24,9.40,12.24,-21.20
GB5,pose002,0.00,-31.56,-0.01,-31.56,-2.91,12.33,9.42,12.33,-22.14
GB5,pose003,0.00,-31.35,-0.01,-31.36,-2.50,9.83,7.32,9.83,-24.04
GB5,pose004,0.00,-32.79,-0.01,-32.80,-2.53,11.08,8.56,11.08,-24.25
GB5,pose005,0.00,-30.64,-0.01,-30.65,-2.53,9.81,7.29,9.81,-23.36
GB5,pose006,0.00,-29.55,-0.01,-29.56,-2.59,9.42,6.83,9.42,-22.72
GB5,pose007,0.00,-29.23,-0.01,-29.24,-2.33,7.24,4.91,7.24,-24.33
GB5,pose008,0.00,-31.19,-0.01,-31.20,-2.48,11.22,8.74,11.22,-22.46
GB5,pose009,0.00,-26.99,-0.01,-27.00,-2.16,6.94,4.78,6.94,-22.22
GB5,pose010,0.00,-31.01,-0.01,-31.02,-2.30,9.06,6.76,9.06,-24.26
GB6,pose001,0.00,-30.59,-0.01,-30.60,-2.88,24.22,21.34,24.22,-9.25
GB6,pose002,0.00,-31.56,-0.01,-31.56,-2.92,31.52,28.60,31.52,-2.97
GB6,pose003,0.00,-31.35,-0.01,-31.36,-2.92,16.84,13.92,16.84,-17.44
GB6,pose004,0.00,-32.79,-0.01,-32.80,-2.96,22.76,19.80,22.76,-13.00
